"x" "y"
"1" 0 -1
"2" 0.1 -0.88
"3" 0.2 -0.72
"4" 0.3 -0.52
"5" 0.4 -0.28
"6" 0.5 0
"7" 0.6 0.32
"8" 0.7 0.68
"9" 0.8 1.08
"10" 0.9 1.52
"11" 1 2
"12" 1.1 2.52
"13" 1.2 3.08
"14" 1.3 3.68
"15" 1.4 4.32
"16" 1.5 5
"17" 1.6 5.72
"18" 1.7 6.48
"19" 1.8 7.28
"20" 1.9 8.12
"21" 2 9
"22" 2.1 9.92
"23" 2.2 10.88
"24" 2.3 11.88
"25" 2.4 12.92
"26" 2.5 14
"27" 2.6 15.12
"28" 2.7 16.28
"29" 2.8 17.48
"30" 2.9 18.72
"31" 3 20
"32" 3.1 21.32
"33" 3.2 22.68
"34" 3.3 24.08
"35" 3.4 25.52
"36" 3.5 27
"37" 3.6 28.52
"38" 3.7 30.08
"39" 3.8 31.68
"40" 3.9 33.32
"41" 4 35
"42" 4.1 36.72
"43" 4.2 38.48
"44" 4.3 40.28
"45" 4.4 42.12
"46" 4.5 44
"47" 4.6 45.92
"48" 4.7 47.88
"49" 4.8 49.88
"50" 4.9 51.92
"51" 5 54
